epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84697,3.54115,4.73384,3.26828,0,0,0,0,3.3738,4.9999,3.08649,1e-05,1e-05,1e-05
2,13.5997,3.57613,4.72864,3.22509,0,0,0,0,3.53259,4.87838,3.14713,2.9406e-05,2.9406e-05,2.9406e-05
3,21.4739,3.51653,4.61977,3.19292,0,0,0,0,3.48633,4.82157,3.07219,4.802e-05,4.802e-05,4.802e-05
4,28.0153,3.69954,4.71742,3.18765,0,0,0,0,3.47081,4.70362,3.01311,6.5842e-05,6.5842e-05,6.5842e-05
5,38.3029,3.3459,4.65577,2.97251,0,0,0,0,3.41626,4.71745,2.96249,8.2872e-05,8.2872e-05,8.2872e-05
6,48.0051,3.16357,4.63256,2.70827,0,0,0,0,3.41626,4.71745,2.96249,9.911e-05,9.911e-05,9.911e-05
7,54.3447,3.38978,4.54331,2.90525,0,0,0,0,3.28578,4.92053,2.88772,0.000114556,0.000114556,0.000114556
8,59.3187,3.23694,4.52123,2.95229,0,0,0,0,3.2041,5.04445,2.87328,0.00012921,0.00012921,0.00012921
9,63.8107,3.3546,4.59129,2.65792,0,0,0,0,3.2041,5.04445,2.87328,0.000143072,0.000143072,0.000143072
10,68.2613,3.08402,4.81779,3.0359,0,0,0,0,3.23388,5.04044,2.87566,0.000156142,0.000156142,0.000156142
11,72.5267,2.86525,4.55148,2.39658,0,0,0,0,3.23388,5.04044,2.87566,0.00016842,0.00016842,0.00016842
12,77.1097,2.97992,4.60347,2.69207,0,0,0,0,3.31113,4.9508,2.93476,0.000179906,0.000179906,0.000179906
13,81.9105,3.59224,4.53611,2.87748,0,0,0,0,3.31113,4.9508,2.93476,0.0001906,0.0001906,0.0001906
14,86.6381,3.98132,4.75624,3.83963,0,0,0,0,3.31113,4.9508,2.93476,0.000200502,0.000200502,0.000200502
15,93.0739,3.40057,4.43101,2.86743,0,0,0,0,3.39388,4.76471,3.00966,0.000209612,0.000209612,0.000209612
16,97.4584,2.95649,4.276,2.85089,0,0,0,0,3.39388,4.76471,3.00966,0.00021793,0.00021793,0.00021793
17,102.046,3.00602,4.2861,2.46824,0,0,0,0,3.39388,4.76471,3.00966,0.000225456,0.000225456,0.000225456
18,106.388,2.55796,4.37804,2.38941,0,0,0,0,3.06473,4.86332,2.85989,0.00023219,0.00023219,0.00023219
19,109.68,3.25108,4.73295,2.87799,0,0,0,0,3.06473,4.86332,2.85989,0.000238132,0.000238132,0.000238132
20,112.704,3.34886,4.84604,3.11443,0,0,0,0,3.06473,4.86332,2.85989,0.000243282,0.000243282,0.000243282
21,116.715,2.87874,4.46155,2.55628,0,0,0,0,3.19296,4.84552,2.81929,0.00024764,0.00024764,0.00024764
22,120.373,3.07165,4.5037,2.54139,0,0,0,0,3.19296,4.84552,2.81929,0.000251206,0.000251206,0.000251206
23,123.771,2.66386,4.38894,2.35121,0,0,0,0,3.19296,4.84552,2.81929,0.00025398,0.00025398,0.00025398
24,127.364,3.0634,4.58317,2.4574,0,0,0,0,3.19296,4.84552,2.81929,0.000255962,0.000255962,0.000255962
25,130.77,2.60464,4.57234,2.45349,0,0,0,0,3.52633,4.62003,2.93087,0.000257152,0.000257152,0.000257152
